City,Country,TripType,Cost,Rating,Popularity,Restaurants,Accommodations,Activities
Tokyo,Japan,Cultural,2800,4.8,9.4,"Sushi, Ramen",Tokyo Grand Hotel,"Temples, Shibuya Crossing, Art Museums, Shopping"
Atami,Japan,Relaxed,2400,4.7,8.9,Japanese Cuisine,Atami Resort,"Hot Springs, Beach Relaxation, Scenic Views"
Ho Chi Minh City,Vietnam,Cultural,2200,4.6,8.8,Vietnamese Cuisine,Ho Chi Minh City Hotel,"War Remnants Museum, Cu Chi Tunnels, Street Markets"
Mekong River,Vietnam,Adventurous,2400,4.7,8.9,Vietnamese Seafood,Mekong Eco Lodge,"River Cruises, Floating Markets, Villages Exploration"
Phnom Penh,Cambodia,Cultural,2300,4.8,9,Cambodian Cuisine,Phnom Penh Heritage Hotel,"Royal Palace, Tuol Sleng Museum, Killing Fields"
Battambang,Cambodia,Cultural,2200,4.7,8.8,Khmer Cuisine,Battambang Inn,"Bamboo Train, Temples, Cultural Sites"
Pailin,Cambodia,Cultural,2100,4.6,8.7,Khmer Specialties,Pailin Hotel,"Temple Visits, Village Tours, Exploring Nature"
Tokyo,Japan,Adventurous,2800,4.8,9.3,"Ramen, Sushi",Tokyo Adventure Hotel,"Mt. Fuji Hiking, Tokyo Disneyland, Urban Exploration"
Porto,Portugal,Cultural,2600,4.9,9.1,Portuguese Cuisine,Porto Heritage Hotel,"Wine Tasting, Historic Ribeira, Port Wine Cellars"
San Sebastian,Spain,Relaxed,2500,4.7,8.8,Basque Cuisine,San Sebastian Inn,"Beaches, Tapas Tour, Relaxing Strolls in Old Town"
Arcachon,France,Relaxed,2200,4.6,8.7,French Seafood,Arcachon Resort,"Dune of Pilat, Beaches, Oyster Farms"
Amarante,Portugal,Cultural,2400,4.7,8.9,Portuguese Delights,Amarante Hotel,"Wine Tours, Historic Churches, Scenic Views"
Rissani,Morocco,Cultural,2300,4.8,8.9,Moroccan Cuisine,Rissani Inn,"Sahara Desert, Kasbah Visits, Camel Rides"
Fes,Morocco,Cultural,2500,4.9,9.2,Moroccan Specialties,Fes Heritage Hotel,"Medina Exploration, Al Quaraouiyine University"
St. Petersburg,Russia,Cultural,2700,4.8,9.3,Russian Cuisine,St. Petersburg Hotel,"Hermitage Museum, Peterhof Palace, Canal Cruises"
Oaxaca,Mexico,Cultural,2200,4.6,8.8,Oaxacan Cuisine,Oaxaca Inn,"Monte Albán, Textile Workshops, Mezcal Tastings"
Puebla,Mexico,Cultural,2300,4.7,9,Puebla Specialties,Puebla Resort,"Historic Architecture, Puebla Cathedral, Culinary Tour"
Los Angeles,United States,Cultural,2700,4.8,9.5,American Cuisine,LA Grand Hotel,"Hollywood Walk of Fame, Museums, Griffith Observatory"
Napa Valley,United States,Relaxed,2400,4.8,9.2,Wine Country Delights,Napa Resort,"Wine Tours, Vineyard Picnics, Scenic Drives"
San Francisco,United States,Cultural,2500,4.7,9.4,Californian Cuisine,San Francisco Resort,"Golden Gate Bridge, Alcatraz, Fisherman's Wharf"
New York City,United States,Cultural,2800,4.9,9.6,New York Cuisine,NYC Heritage Hotel,"Broadway, Central Park, Museums, Empire State Building"
Provincetown,United States,Adventurous,2200,4.7,8.9,American Seafood,Provincetown Inn,"Whale Watching, Outdoor Adventures, Hiking"
Glasgow,United Kingdom,Cultural,2400,4.8,9,Scottish Cuisine,Glasgow Grand Hotel,"Museums, Glasgow Cathedral, Shopping"
London,United Kingdom,Cultural,2700,4.9,9.5,British Cuisine,London Heritage Hotel,"Buckingham Palace, The British Museum, Theatre"
Saint-Martin,Saint-Martin,Relaxed,2300,4.7,8.9,Caribbean Cuisine,Saint-Martin Resort,"Beach Relaxation, Watersports, Sunset Viewing"
New Orleans,United States,Cultural,2500,4.8,9.2,Cajun Cuisine,New Orleans Hotel,"French Quarter, Jazz, Garden District"
Salvador de Bahia,Brazil,Cultural,2600,4.8,9.3,Brazilian Cuisine,Salvador Resort,"Historic Center, Carnival, Afro-Brazilian Culture"
Rio de Janeiro,Brazil,Cultural,2700,4.9,9.4,Brazilian Delights,Rio Resort,"Christ the Redeemer, Copacabana Beach, Sugarloaf"
Minneapolis,United States,Cultural,2400,4.7,8.8,Local Cuisine,Minneapolis Inn,"Walker Art Center, Mall of America, Lakeside Parks"
Kansas City,United States,Cultural,2300,4.6,8.7,BBQ Cuisine,Kansas City Hotel,"Jazz, Museums, Barbecue Tour"
Houston,United States,Cultural,2400,4.7,8.9,Tex-Mex Cuisine,Houston Grand Hotel,"Space Center, Museum District, Cultural Festivals"
Wilson,United States,Cultural,2200,4.5,8.6,Southern Comfort,Wilson Inn,"Local History, Parks, Outdoor Activities"
